product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Патиссон,2756,843,Овощи,Отличается способностью повышать общий тонус и работоспособность.,2000-04-17,2000-05-09,4.57,In Stock
2,Подсолнечник семена,671,357,Бакалея,Отличается высокой питательностью и способен быстро утолить голод.,2004-05-14,2010-01-01,0.34,Delivered
3,Огурец,9151,393,Овощи,Рекомендуется для ежедневного потребления в умеренных количествах.,1995-01-14,2023-02-01,2.97,In Stock
4,Дезодорант,1617,170,Товары для дома,Помогает поддерживать нормальный уровень глюкозы в крови.,2011-03-07,2013-06-02,3.46,Backorder
5,Пажитник сушеный,9826,866,Бакалея,"Подходит для приготовления как горячих, так и холодных блюд.",2004-02-22,2015-01-02,2.68,Backorder
6,Разрыхлитель теста,2471,970,Бакалея,Помогает поддерживать нормальный уровень глюкозы в крови.,2008-04-01,2026-01-01,4.22,In Stock
7,Растительное масло кукурузное,7217,594,Бакалея,"Не содержит консервантов и красителей, что делает его экологически чистым продуктом.",2022-05-11,2030-01-05,2.1,Temporarily Unavailable
8,Пахта,5651,252,Молочные продукты,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,2003-05-06,2013-09-18,1.94,Cancelled
9,Пармезан,3237,654,Молочные продукты,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",2002-02-09,2017-01-26,3.46,Cancelled
10,Помидор,8317,836,Овощи,Придает блюдам особую нежность и насыщенность.,2009-07-03,2028-06-06,2.12,Pending
11,Пакеты для игрушек,4929,256,Товары для дома,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",2002-01-04,2009-08-02,4.29,Awaiting Review
12,Клюква,4716,814,Фрукты,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",2015-03-01,2028-01-01,4.0,Shipping
13,Контейнеры для хранения продуктов,6281,499,Товары для дома,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2014-01-06,2024-04-02,3.72,Shipping
14,Папайя,8476,1000,Фрукты,Придает блюдам особую нежность и насыщенность.,2009-02-13,2013-01-08,2.17,Cancelled
15,Блендер,5544,375,Товары для дома,"Подходит для приготовления как горячих, так и холодных блюд.",1996-03-20,2008-05-11,2.41,Temporarily Unavailable
16,Помело,2876,315,Фрукты,Помогает поддерживать нормальный уровень электролитов в организме.,1998-03-03,2003-04-01,4.45,Backorder
17,Манго,4414,407,Фрукты,Помогает поддерживать нормальный уровень глюкозы в крови.,1995-01-09,2015-06-15,0.69,Shipping
18,Майонез,5800,943,Бакалея,Отличается хорошим сочетанием с различными специями и приправами.,2014-01-03,2026-10-02,1.79,Awaiting Review
19,Пакеты для Дня космонавтики,5719,808,Товары для дома,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2008-10-13,2028-02-01,2.69,Delivered
20,Тыква,5914,970,Овощи,Подходит для использования в рационе людей с повышенным давлением.,2009-06-01,2020-01-01,0.91,Returned
21,Смородина,6150,525,Фрукты,"Является источником антиоксидантов, замедляющих процессы старения.",2016-01-05,2029-01-19,4.83,Backorder
22,Лук-порей,5482,165,Овощи,Прошел все необходимые сертификации и соответствует международным стандартам.,1996-01-10,2007-05-05,4.46,Cancelled
23,Пищевая пленка,6719,58,Товары для дома,"Отличается высоким содержанием хрома, необходимого для регуляции уровня сахара в крови.",2000-02-07,2010-05-03,4.22,Awaiting Payment
24,Салями,925,147,Мясо,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",1992-05-02,2008-02-04,2.62,Available for Pickup
25,Корица молотая,1588,760,Бакалея,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",1990-05-05,2005-06-15,0.71,Sold
26,Помело,3297,292,Фрукты,"Является источником витаминов группы B, необходимых для энергетического обмена.",2014-01-18,2028-01-22,3.05,Backorder
27,Пакеты для Дня матери,4809,636,Товары для дома,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",2012-04-20,2026-09-11,4.24,Shipping
28,Дыня,7500,492,Фрукты,Помогает поддерживать нормальный уровень холестерина в крови.,2018-01-12,2021-05-09,2.82,Refunded
29,Портулак,8937,893,Овощи,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2002-04-01,2011-02-11,0.64,Out of Stock
30,Бурятская,147,326,Напитки,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",2005-08-16,2025-04-11,2.53,In Stock
31,Йогурт,3956,774,Молочные продукты,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",2012-01-08,2020-01-02,4.24,In Stock
32,Телятина,6022,494,Мясо,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2012-09-01,2016-09-02,2.54,Refunded
33,Пакеты для музея,651,504,Товары для дома,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2013-04-02,2028-04-04,3.66,Shipping
34,Coca-Cola Zero,4577,873,Напитки,Может использоваться в детском питании начиная с раннего возраста.,2001-01-20,2018-08-13,4.14,Pending
35,Эмменталь,6462,820,Молочные продукты,Подходит для использования в рационе людей с повышенным давлением.,2015-11-07,2017-06-04,4.46,Sold
36,Молочный коктейль,3141,818,Напитки,Отличается простотой в использовании и хранении.,1997-05-02,2010-08-11,2.46,Sold
37,Слива,673,214,Фрукты,Отличается низкой калорийностью и высоким содержанием белка.,2022-01-23,2028-03-08,1.25,Available for Pickup
38,Виноград,9825,69,Фрукты,Прошел сертификацию на соответствие требованиям органических стандартов.,1993-02-02,1999-06-06,2.83,Cancelled
39,Отбивная,6975,800,Мясо,Помогает снизить риск развития сердечно-сосудистых заболеваний.,1990-07-05,2004-01-25,3.88,Temporarily Unavailable
