product_id,name,price,quantity,category,production_date,expiration_date,rating,status
1,Патиссон,2756,843,Овощи,2000-04-17,2000-05-09,4.57,In Stock
2,Подсолнечник семена,671,357,Бакалея,2004-05-14,2010-01-01,0.34,Delivered
3,Огурец,9151,393,Овощи,1995-01-14,2023-02-01,2.97,In Stock
4,Дезодорант,1617,170,Товары для дома,2011-03-07,2013-06-02,3.46,Backorder
5,Пажитник сушеный,9826,866,Бакалея,2004-02-22,2015-01-02,2.68,Backorder
6,Разрыхлитель теста,2471,970,Бакалея,2008-04-01,2026-01-01,4.22,In Stock
8,Пахта,5651,252,Молочные продукты,2003-05-06,2013-09-18,1.94,Cancelled
9,Пармезан,3237,654,Молочные продукты,2002-02-09,2017-01-26,3.46,Cancelled
10,Помидор,8317,836,Овощи,2009-07-03,2028-06-06,2.12,Pending
11,Пакеты для игрушек,4929,256,Товары для дома,2002-01-04,2009-08-02,4.29,Awaiting Review
12,Клюква,4716,814,Фрукты,2015-03-01,2028-01-01,4.0,Shipping
13,Контейнеры для хранения продуктов,6281,499,Товары для дома,2014-01-06,2024-04-02,3.72,Shipping
14,Папайя,8476,1000,Фрукты,2009-02-13,2013-01-08,2.17,Cancelled
16,Помело,2876,315,Фрукты,1998-03-03,2003-04-01,4.45,Backorder
17,Манго,4414,407,Фрукты,1995-01-09,2015-06-15,0.69,Shipping
18,Майонез,5800,943,Бакалея,2014-01-03,2026-10-02,1.79,Awaiting Review
19,Пакеты для Дня космонавтики,5719,808,Товары для дома,2008-10-13,2028-02-01,2.69,Delivered
20,Тыква,5914,970,Овощи,2009-06-01,2020-01-01,0.91,Returned
21,Смородина,6150,525,Фрукты,2016-01-05,2029-01-19,4.83,Backorder
22,Лук-порей,5482,165,Овощи,1996-01-10,2007-05-05,4.46,Cancelled
23,Пищевая пленка,6719,58,Товары для дома,2000-02-07,2010-05-03,4.22,Awaiting Payment
24,Салями,925,147,Мясо,1992-05-02,2008-02-04,2.62,Available for Pickup
25,Корица молотая,1588,760,Бакалея,1990-05-05,2005-06-15,0.71,Sold
26,Помело,3297,292,Фрукты,2014-01-18,2028-01-22,3.05,Backorder
27,Пакеты для Дня матери,4809,636,Товары для дома,2012-04-20,2026-09-11,4.24,Shipping
28,Дыня,7500,492,Фрукты,2018-01-12,2021-05-09,2.82,Refunded
29,Портулак,8937,893,Овощи,2002-04-01,2011-02-11,0.64,Out of Stock
30,Бурятская,147,326,Напитки,2005-08-16,2025-04-11,2.53,In Stock
31,Йогурт,3956,774,Молочные продукты,2012-01-08,2020-01-02,4.24,In Stock
32,Телятина,6022,494,Мясо,2012-09-01,2016-09-02,2.54,Refunded
33,Пакеты для музея,651,504,Товары для дома,2013-04-02,2028-04-04,3.66,Shipping
34,Coca-Cola Zero,4577,873,Напитки,2001-01-20,2018-08-13,4.14,Pending
35,Эмменталь,6462,820,Молочные продукты,2015-11-07,2017-06-04,4.46,Sold
36,Молочный коктейль,3141,818,Напитки,1997-05-02,2010-08-11,2.46,Sold
37,Слива,673,214,Фрукты,2022-01-23,2028-03-08,1.25,Available for Pickup
38,Виноград,9825,69,Фрукты,1993-02-02,1999-06-06,2.83,Cancelled
40,Сбитень медовый,4825,305,Напитки,2019-06-04,2022-02-04,3.64,Sold
41,Каймак,6379,194,Молочные продукты,1994-01-18,2003-01-06,2.54,Shipping
42,Клинская,7192,745,Напитки,2004-05-01,2010-01-01,2.7,Awaiting Review
43,Каша из дробленной кускусовой крупы,6121,240,Бакалея,2008-12-06,2020-02-08,2.78,Delivered
44,Гусиные потроха,9171,247,Мясо,2001-02-09,2002-01-08,0.85,Delivered
45,Миринда,2279,253,Напитки,2013-09-03,2018-01-12,1.67,Shipping
46,Ножи столовые,448,74,Товары для дома,1990-04-05,2006-05-07,2.91,In Stock
47,Пицца с мясом,482,550,Мясо,1997-01-22,2013-01-04,0.55,Awaiting Review
48,Ванилин,949,256,Бакалея,2003-02-04,2009-01-08,2.83,Refunded
49,Манго,8226,125,Фрукты,2000-02-03,2005-08-11,4.36,Pending
50,Кашинская,7621,525,Напитки,2012-01-06,2017-09-02,3.47,Available for Pickup
51,Картофель,1374,938,Овощи,2012-02-12,2024-03-04,2.67,Available for Pickup
52,Лардон,9197,580,Мясо,1992-04-20,2004-08-02,1.68,New
53,Великолукская,8687,632,Напитки,2021-01-10,2028-02-02,4.56,In Stock
54,Манго,3548,298,Фрукты,1995-06-07,2027-06-17,0.49,Shipping
55,Кубай,4052,953,Напитки,2007-02-07,2018-07-07,1.67,Refunded
57,Йогурт,9276,162,Молочные продукты,2017-03-16,2025-01-03,2.48,Sold
58,Энергетический напиток,391,489,Напитки,2003-07-04,2016-05-09,0.71,Available for Pickup
59,Чеддер,3231,582,Молочные продукты,2016-03-06,2029-02-18,0.45,Out of Stock
60,Ройбос,2986,197,Напитки,2000-01-03,2010-01-05,0.07,Refunded
61,Картофель,6784,97,Овощи,2018-04-08,2019-03-02,0.03,Out of Stock
62,Половники,881,864,Товары для дома,1991-02-02,2014-01-25,0.31,Available for Pickup
63,Пакеты пластиковые,3087,82,Товары для дома,2013-02-06,2026-01-01,1.0,Cancelled
66,Сухое мясо,310,942,Мясо,1994-01-12,2018-03-10,3.2,Sold
67,Курт,6420,55,Молочные продукты,2010-07-17,2018-08-09,4.04,Awaiting Review
68,Пакеты для дня рождения,4777,411,Товары для дома,1999-04-07,2015-04-01,4.85,Returned
69,Редис,7033,996,Овощи,2003-03-03,2015-05-05,3.85,Shipping
70,Bonaqua,7162,305,Напитки,2015-03-10,2019-04-10,4.27,Awaiting Review
71,Шадринская,4301,466,Напитки,2013-05-07,2019-01-26,1.03,In Stock
